transaction_id,customer_id,timestamp,transaction_amount,avg_transaction_amount_30d,amount_deviation,txn_velocity,velocity_change,location_change_km,merchant_category_risk,hour_of_day
T1405_002,C1405,2025-11-01 12:16:00,870.62,1013,0.86,0,0.0,0.0,0.4,13
T1792_002,C1792,2025-11-01 12:21:00,345.61,926,0.37,0,0.0,735.2,0.15,11
T0848_003,C0848,2025-11-01 12:26:00,1021.01,883,1.16,0,0.0,0.0,0.4,19
T1223_003,C1223,2025-11-01 12:33:00,3201.49,2642,1.21,1,0.83,0.0,0.1,22
T0044_003,C0044,2025-11-01 12:34:00,3102.38,2557,1.21,0,0.0,0.0,0.1,12
T0508_002,C0508,2025-11-01 12:35:00,1711.49,1586,1.08,0,0.0,0.0,0.4,9
T1767_003,C1767,2025-11-01 12:36:00,2025.33,1816,1.12,0,0.0,0.0,0.2,22
T0545_004,C0545,2025-11-01 12:39:00,2887.41,2569,1.12,1,0.83,0.0,0.1,15
T0583_002,C0583,2025-11-01 12:45:00,932.44,980,0.95,0,0.0,0.0,0.2,14
T0940_003,C0940,2025-11-01 12:51:00,2826.72,2313,1.22,0,0.0,0.0,0.3,11
T1677_003,C1677,2025-11-01 12:52:00,1494.1,1010,1.48,0,0.0,0.0,0.4,16
T1900_004,C1900,2025-11-01 12:54:00,2312.96,1630,1.42,0,0.0,0.0,0.15,21
T0489_003,C0489,2025-11-01 12:59:00,933.04,1462,0.64,1,0.83,0.0,0.15,21
T1660_003,C1660,2025-11-01 13:02:00,1462.6,1988,0.74,1,0.83,0.0,0.3,8
T1638_002,C1638,2025-11-01 13:05:00,1197.77,915,1.31,0,0.0,0.0,0.1,22
T1905_002,C1905,2025-11-01 13:17:00,1846.07,1632,1.13,0,0.0,0.0,0.1,19
T0221_004,C0221,2025-11-01 13:20:00,1539.76,1127,1.37,0,0.0,0.0,0.2,12
T0391_002,C0391,2025-11-01 13:29:00,1281.23,1048,1.22,0,0.0,0.0,0.3,14
T0071_003,C0071,2025-11-01 13:31:00,1114.1,1066,1.05,0,0.0,0.0,0.15,10
T0482_002,C0482,2025-11-01 13:46:00,2273.22,2272,1.0,0,0.0,0.0,0.3,10
T1623_002,C1623,2025-11-01 13:52:00,1399.05,1125,1.24,0,0.0,0.0,0.2,12
T1164_003,C1164,2025-11-01 13:53:00,396.3,2232,0.18,0,0.0,0.0,0.2,13
T0864_003,C0864,2025-11-01 13:55:00,3623.6,2770,1.31,0,0.0,0.0,0.3,19
T1638_003,C1638,2025-11-01 13:56:00,607.86,915,0.66,1,0.83,0.0,0.4,8
T0238_003,C0238,2025-11-01 13:59:00,346.21,534,0.65,0,0.0,0.0,0.3,18
T1739_002,C1739,2025-11-01 14:09:00,1657.63,1449,1.14,0,0.0,0.0,0.15,9
T1535_002,C1535,2025-11-01 14:12:00,1954.01,1861,1.05,0,0.0,0.0,0.1,15
T1427_002,C1427,2025-11-01 14:15:00,931.81,591,1.58,0,0.0,0.0,0.3,15
T0391_003,C0391,2025-11-01 14:17:00,1019.09,1048,0.97,1,0.83,0.0,0.1,17
T0261_002,C0261,2025-11-01 14:20:00,945.94,1761,0.54,0,0.0,0.0,0.3,9
T0583_003,C0583,2025-11-01 14:28:00,1077.27,980,1.1,0,0.0,0.0,0.3,13
T0877_002,C0877,2025-11-01 14:29:00,993.99,1108,0.9,0,0.0,0.0,0.2,9
T1405_003,C1405,2025-11-01 14:29:00,771.79,1013,0.76,0,0.0,0.0,0.2,15
T1896_002,C1896,2025-11-01 14:29:00,1014.55,1741,0.58,0,0.0,0.0,0.3,14
T1812_002,C1812,2025-11-01 14:32:00,1432.36,905,1.58,0,0.0,0.0,0.4,17
T1033_003,C1033,2025-11-01 14:35:00,1236.87,1972,0.63,0,0.0,0.0,0.1,10
T0971_002,C0971,2025-11-01 14:35:00,2009.09,1269,1.58,0,0.0,0.0,0.4,17
T1299_002,C1299,2025-11-01 14:45:00,3402.72,2424,1.4,0,0.0,0.0,0.4,10
T1213_002,C1213,2025-11-01 14:47:00,1862.16,1996,0.93,0,0.0,0.0,0.3,21
T0049_002,C0049,2025-11-01 14:49:00,1850.1,1905,0.97,0,0.0,0.0,0.1,16
T1515_003,C1515,2025-11-01 14:51:00,2061.34,1899,1.09,0,0.0,0.0,0.3,8
T1051_005,C1051,2025-11-01 14:53:00,2560.56,1879,1.36,0,0.0,0.0,0.15,20
T0958_004,C0958,2025-11-01 14:54:00,1310.39,1133,1.16,0,0.0,0.0,0.4,19
T0269_002,C0269,2025-11-01 14:55:00,805.43,1547,0.52,0,0.0,0.0,0.3,14
T0001_004,C0001,2025-11-01 14:56:00,2368.93,1626,1.46,0,0.0,0.0,0.3,11
T0071_004,C0071,2025-11-01 14:59:00,1182.71,1066,1.11,0,0.0,0.0,0.4,15
T0757_003,C0757,2025-11-01 15:00:00,805.21,1197,0.67,0,0.0,0.0,0.15,16
T0482_003,C0482,2025-11-01 15:04:00,2352.23,2272,1.04,0,0.0,0.0,0.3,9
T0053_004,C0053,2025-11-01 15:05:00,960.09,1374,0.7,0,0.0,0.0,0.1,11
T1941_002,C1941,2025-11-01 15:06:00,1885.93,1885,1.0,0,0.0,0.0,0.1,21
T1580_002,C1580,2025-11-01 15:06:00,3939.4,2743,1.44,0,0.0,0.0,0.2,15
T0149_002,C0149,2025-11-01 15:18:00,1904.09,2465,0.77,0,0.0,0.0,0.15,11
T1407_002,C1407,2025-11-01 15:19:00,3439.8,3000,1.15,0,0.0,0.0,0.4,19
T0033_002,C0033,2025-11-01 15:21:00,2312.07,1978,1.17,0,0.0,0.0,0.3,22
T0060_002,C0060,2025-11-01 15:25:00,1533.99,1806,0.85,0,0.0,0.0,0.15,15
T0768_002,C0768,2025-11-01 15:30:00,2905.18,2261,1.28,0,0.0,0.0,0.15,19
T0733_003,C0733,2025-11-01 15:31:00,1955.83,1288,1.52,0,0.0,0.0,0.2,22
T1812_003,C1812,2025-11-01 15:35:00,257.54,905,0.28,0,0.0,0.0,0.15,14
T0826_002,C0826,2025-11-01 15:36:00,3699.61,2817,1.31,0,0.0,0.0,0.3,9
T1103_002,C1103,2025-11-01 15:37:00,1278.67,1715,0.75,0,0.0,0.0,0.1,13
T0508_003,C0508,2025-11-01 15:42:00,1320.12,1586,0.83,0,0.0,0.0,0.3,11
T1794_002,C1794,2025-11-01 15:55:00,691.48,939,0.74,0,0.0,0.0,0.4,10
T0650_002,C0650,2025-11-01 15:58:00,3273.9,2458,1.33,0,0.0,0.0,0.1,22
T1875_002,C1875,2025-11-01 15:58:00,2933.14,1869,1.57,0,0.0,0.0,0.1,15
T1580_003,C1580,2025-11-01 15:59:00,4439.77,2743,1.62,1,0.83,0.0,0.15,12
T0238_004,C0238,2025-11-01 16:11:00,608.39,534,1.14,0,0.0,735.2,0.3,21
T1677_004,C1677,2025-11-01 16:12:00,494.67,1010,0.49,0,0.0,0.0,0.1,21
T0105_003,C0105,2025-11-01 16:16:00,3334.92,2865,1.16,0,0.0,0.0,0.15,18
T0733_004,C0733,2025-11-01 16:25:00,1447.87,1288,1.12,1,0.83,0.0,0.15,19
T1483_003,C1483,2025-11-01 16:28:00,940.64,1516,0.62,0,0.0,0.0,0.1,8
T1767_004,C1767,2025-11-01 16:30:00,1323.58,1816,0.73,0,0.0,0.0,0.2,10
T0864_004,C0864,2025-11-01 16:31:00,1766.34,2770,0.64,0,0.0,0.0,0.2,22
T0033_003,C0033,2025-11-01 16:35:00,1591.91,1978,0.8,0,0.0,0.0,0.2,19
T0877_003,C0877,2025-11-01 16:36:00,851.22,1108,0.77,0,0.0,0.0,0.1,17
T0049_003,C0049,2025-11-01 16:40:00,2561.81,1905,1.34,0,0.0,0.0,0.15,15
T0149_003,C0149,2025-11-01 16:43:00,2294.62,2465,0.93,0,0.0,0.0,0.4,13
T1580_004,C1580,2025-11-01 16:50:00,1882.34,2743,0.69,1,0.83,0.0,0.2,18
T1244_003,C1244,2025-11-01 16:51:00,3009.53,2170,1.39,0,0.0,0.0,0.1,9
T0292_003,C0292,2025-11-01 17:06:00,1008.13,757,1.33,0,0.0,0.0,0.3,17
T0757_004,C0757,2025-11-01 17:11:00,404.27,1197,0.34,0,0.0,0.0,0.1,14
T1636_003,C1636,2025-11-01 17:18:00,1259.58,902,1.4,0,0.0,0.0,0.2,11
T1592_003,C1592,2025-11-01 17:23:00,2114.34,2573,0.82,0,0.0,0.0,0.3,10
T1001_004,C1001,2025-11-01 17:25:00,1703.86,1684,1.01,0,0.0,0.0,0.4,13
T1792_003,C1792,2025-11-01 17:25:00,846.16,926,0.91,0,0.0,0.0,0.1,16
T1677_005,C1677,2025-11-01 17:27:00,1154.18,1010,1.14,0,0.0,0.0,0.2,21
T0563_003,C0563,2025-11-01 17:37:00,3753.9,2901,1.29,0,0.0,0.0,0.3,17
T1299_003,C1299,2025-11-01 17:40:00,2488.22,2424,1.03,0,0.0,0.0,0.3,9
T0105_004,C0105,2025-11-01 17:46:00,2659.64,2865,0.93,0,0.0,0.0,0.15,12
T0071_005,C0071,2025-11-01 17:48:00,1834.61,1066,1.72,0,0.0,0.0,0.4,15
T0768_003,C0768,2025-11-01 17:49:00,2447.17,2261,1.08,0,0.0,735.2,0.4,9
T1660_004,C1660,2025-11-01 17:52:00,2083.84,1988,1.05,0,0.0,0.0,0.1,22
T0489_004,C0489,2025-11-01 18:31:00,1073.41,1462,0.73,0,0.0,0.0,0.3,21
T0877_004,C0877,2025-11-01 18:33:00,1353.9,1108,1.22,0,0.0,0.0,0.3,10
T1164_004,C1164,2025-11-01 18:35:00,2491.95,2232,1.12,0,0.0,735.2,0.4,17
T0583_004,C0583,2025-11-01 18:35:00,1200.43,980,1.22,0,0.0,0.0,0.3,13
T0971_003,C0971,2025-11-01 18:37:00,1408.78,1269,1.11,0,0.0,0.0,0.3,15
T0848_004,C0848,2025-11-01 18:38:00,722.12,883,0.82,0,0.0,0.0,0.1,21
T0113_004,C0113,2025-11-01 18:39:00,2416.07,2538,0.95,0,0.0,0.0,0.4,14
T0864_005,C0864,2025-11-01 18:40:00,4128.57,2770,1.49,0,0.0,0.0,0.4,16
T1535_003,C1535,2025-11-01 18:41:00,2210.29,1861,1.19,0,0.0,0.0,0.1,14
T0508_004,C0508,2025-11-01 18:44:00,1808.32,1586,1.14,0,0.0,0.0,0.2,20
T0733_005,C0733,2025-11-01 18:48:00,1381.68,1288,1.07,0,0.0,0.0,0.15,19
T0053_005,C0053,2025-11-01 18:51:00,1057.51,1374,0.77,0,0.0,0.0,0.2,9
T0179_004,C0179,2025-11-01 18:54:00,635.11,950,0.67,0,0.0,845.3,0.2,16
T0711_004,C0711,2025-11-01 18:58:00,750.38,788,0.95,0,0.0,0.0,0.1,19
T1792_004,C1792,2025-11-01 19:05:00,896.74,926,0.97,0,0.0,0.0,0.15,15
T0049_004,C0049,2025-11-01 19:08:00,1503.13,1905,0.79,0,0.0,0.0,0.4,10
T1812_004,C1812,2025-11-01 19:11:00,782.66,905,0.86,0,0.0,0.0,0.2,19
T0105_005,C0105,2025-11-01 19:14:00,2549.71,2865,0.89,0,0.0,735.2,0.2,16
T1900_005,C1900,2025-11-01 19:17:00,1198.09,1630,0.74,0,0.0,0.0,0.3,11
T1164_005,C1164,2025-11-01 19:25:00,2099.11,2232,0.94,1,0.83,0.0,0.15,18
T1739_003,C1739,2025-11-01 19:30:00,1622.19,1449,1.12,0,0.0,0.0,0.4,17
T0940_004,C0940,2025-11-01 19:50:00,2164.16,2313,0.94,0,0.0,0.0,0.15,10
T1660_005,C1660,2025-11-01 19:54:00,2786.82,1988,1.4,0,0.0,0.0,0.1,13
T0261_003,C0261,2025-11-01 19:56:00,1676.14,1761,0.95,0,0.0,0.0,0.1,13
T1407_003,C1407,2025-11-01 19:57:00,2529.17,3000,0.84,0,0.0,0.0,0.3,12
T0044_004,C0044,2025-11-01 20:01:00,2897.79,2557,1.13,0,0.0,0.0,0.15,14
T0489_005,C0489,2025-11-01 20:05:00,211.98,1462,0.14,0,0.0,0.0,0.4,18
T0768_004,C0768,2025-11-01 20:13:00,1449.4,2261,0.64,0,0.0,0.0,0.15,19
T0053_006,C0053,2025-11-01 20:13:00,1359.7,1374,0.99,0,0.0,0.0,0.15,12
T0545_005,C0545,2025-11-01 20:14:00,2389.27,2569,0.93,0,0.0,0.0,0.3,16
T1535_004,C1535,2025-11-01 20:14:00,1438.77,1861,0.77,0,0.0,0.0,0.4,22
T0650_003,C0650,2025-11-01 20:21:00,1536.09,2458,0.62,0,0.0,0.0,0.1,17
T0060_003,C0060,2025-11-01 20:26:00,1252.7,1806,0.69,0,0.0,0.0,0.15,11
T0391_004,C0391,2025-11-01 20:28:00,707.85,1048,0.68,0,0.0,0.0,0.2,22
T1812_005,C1812,2025-11-01 20:32:00,934.03,905,1.03,0,0.0,0.0,0.4,17
T1223_004,C1223,2025-11-01 20:33:00,3381.0,2642,1.28,0,0.0,0.0,0.1,22
T1905_003,C1905,2025-11-01 20:33:00,1375.42,1632,0.84,0,0.0,0.0,0.2,19
T0105_006,C0105,2025-11-01 20:36:00,2528.28,2865,0.88,0,0.0,0.0,0.1,16
T1405_004,C1405,2025-11-01 20:39:00,866.13,1013,0.86,0,0.0,0.0,0.15,17
T1213_003,C1213,2025-11-01 20:55:00,1984.34,1996,0.99,0,0.0,0.0,0.15,16
T1896_003,C1896,2025-11-01 21:01:00,1250.95,1741,0.72,0,0.0,735.2,0.2,9
T1299_004,C1299,2025-11-01 21:04:00,2110.77,2424,0.87,0,0.0,0.0,0.4,11
T0221_005,C0221,2025-11-01 21:06:00,830.56,1127,0.74,0,0.0,0.0,0.1,19
T1767_005,C1767,2025-11-01 21:08:00,2733.1,1816,1.51,0,0.0,0.0,0.4,16
T0044_005,C0044,2025-11-01 21:11:00,2280.1,2557,0.89,0,0.0,735.2,0.15,17
T1941_003,C1941,2025-11-01 21:14:00,2418.65,1885,1.28,0,0.0,0.0,0.2,18
T1875_003,C1875,2025-11-01 21:17:00,1655.23,1869,0.89,0,0.0,0.0,0.15,20
T0269_003,C0269,2025-11-01 21:17:00,1254.61,1547,0.81,0,0.0,0.0,0.3,13
T0877_005,C0877,2025-11-01 21:18:00,1601.69,1108,1.45,0,0.0,0.0,0.1,18
T1623_003,C1623,2025-11-01 21:18:00,1066.95,1125,0.95,0,0.0,0.0,0.15,19
T0001_005,C0001,2025-11-01 21:32:00,1511.78,1626,0.93,0,0.0,0.0,0.3,15
T0545_006,C0545,2025-11-01 21:34:00,2221.25,2569,0.86,0,0.0,0.0,0.3,8
T0238_005,C0238,2025-11-01 21:36:00,445.8,534,0.83,0,0.0,0.0,0.1,10
T0971_004,C0971,2025-11-01 21:41:00,1688.94,1269,1.33,0,0.0,0.0,0.15,13
T0221_006,C0221,2025-11-01 21:44:00,1705.84,1127,1.51,1,0.83,0.0,0.15,21
T1794_003,C1794,2025-11-01 21:48:00,451.29,939,0.48,0,0.0,0.0,0.3,9
T0053_007,C0053,2025-11-01 21:53:00,1470.54,1374,1.07,0,0.0,0.0,0.4,20
T1638_004,C1638,2025-11-01 21:55:00,919.54,915,1.0,0,0.0,0.0,0.3,9
T0482_004,C0482,2025-11-01 21:56:00,1132.53,2272,0.5,0,0.0,0.0,0.15,14
T1580_005,C1580,2025-11-01 22:06:00,2839.55,2743,1.04,0,0.0,0.0,0.2,14
T0958_005,C0958,2025-11-01 22:06:00,1038.28,1133,0.92,0,0.0,0.0,0.4,16
T1515_004,C1515,2025-11-01 22:12:00,1392.21,1899,0.73,0,0.0,0.0,0.3,15
T1427_003,C1427,2025-11-01 22:14:00,744.12,591,1.26,0,0.0,0.0,0.4,9
T1051_006,C1051,2025-11-01 22:14:00,2213.33,1879,1.18,0,0.0,0.0,0.15,21
T0060_004,C0060,2025-11-01 22:17:00,2189.79,1806,1.21,0,0.0,0.0,0.2,11
T1244_004,C1244,2025-11-01 22:24:00,1654.24,2170,0.76,0,0.0,0.0,0.15,19
T1164_006,C1164,2025-11-01 22:26:00,1007.24,2232,0.45,0,0.0,0.0,0.1,10
T1033_004,C1033,2025-11-01 22:27:00,1925.37,1972,0.98,0,0.0,0.0,0.2,15
T0864_006,C0864,2025-11-01 22:33:00,3519.37,2770,1.27,0,0.0,0.0,0.3,18
